metric,BreakDown,LIME,SHAP
AvgSensitivity,1.3534399549742058,1.0269890725426891,1.6067348024736348
Completeness,0.0,0.0,0.0
Complexity,1.5255145078148011,1.218711283816869,1.498499752271559
Consistency,0.5714285713469388,0.5714285713469388,0.5714285713469388
Faithfulness,-0.42214451632291716,-0.48137837993138716,0.407577536184602
FaithfulnessEstimate,0.5746688060928721,0.3434038571054154,-0.3377423649156968
LocalLipschitzEstimate,16.445143719223864,17.60425439755131,8.244839584590167
MaxSensitivity,2.2095047026521373,1.7890177822709803,2.537061813837624
Monotonicity,1.0,1.0,1.0
MonotonicityCorrelation,0.2142857142857143,0.7000000000000001,0.2785714285714286
MonotonicityMetric,0.0,0.0,0.0
NonSensitivity,1.0,1.0,1.0
RelativeInputStability,0.00034209470910596165,0.0014423264675101411,0.00040923053108420755
RelativeOutputStability,97.40755260884086,215.3539484656251,137.87957983090553
SensitivityN,0.07068761505555096,-0.6497759345238729,0.4630618732171699
Sparseness,0.39035639118991516,0.5324807803220825,0.38579770108192357
Sufficiency,0.49583333333333335,0.3375,0.6875
