timestamp,TP2,TP3,DV_pressure,Oil_temperature,Motor_current,Towers,LPS,Pressure_switch,Oil_level,Caudal_impulses
2020-07-16 18:00:00,0.023946897355712406,-0.04134922776499809,0.044926177862627086,0.02524410657187322,-0.03392293966246651,0.0,-0.1260036750334534,0.0,0.0,0.0
2020-07-17 01:30:00,0.025419763608834446,0.04672376857917088,0.04879690944710653,-0.04149480761873534,0.03782284835451471,0.0,0.12960542847109757,0.0,0.0,0.0
2020-07-17 02:30:00,0.02440683546045191,0.05418170984255025,0.0510267844644791,-0.039644232308238075,0.034795025471541674,0.0,0.12169726410097394,0.0,0.0,0.0
2020-07-17 03:30:00,0.0207151894176495,0.05294511426313071,0.04473512048875322,-0.04406861957667038,0.03520652573391497,0.0,0.13586233422795524,0.0,0.0,0.0
2020-07-17 04:30:00,0.02417303810604931,0.05561786238270304,0.04476989675529985,-0.04063818965221845,0.03428605031508887,0.0,0.13291768823714953,0.0,0.0,0.0
2020-07-17 05:00:00,0.023809989166258816,0.05253414908744971,0.046646775698458376,0.028892417615157838,0.026741507806792925,0.0,0.13717959904824026,0.0,0.0,0.0
2020-07-17 05:30:00,0.022324462220722697,0.04240342650755025,0.044380890378589666,0.02538544383126058,0.03146991979461381,0.0,0.11895472656811892,0.0,0.0,0.0
2020-07-21 22:00:00,-0.015050629602607689,-0.04302339096426588,0.04995831200869582,0.025766703361457102,0.034781678635191784,0.0,-0.1416412442819884,0.0,0.0,0.0
2020-07-22 10:00:00,0.024710511398549215,0.029209674357693876,-0.03978918831911705,0.028128684899429737,-0.03645035664782077,0.0,-0.12342083936910384,0.0,0.0,0.0
2020-07-24 09:00:00,-0.05176186669902603,-0.03693650766514427,-0.03851130469784387,0.03069228369648832,-0.0350558040058506,0.0,-0.1387353687051391,0.0,0.0,0.0
2020-07-28 23:00:00,0.026968736238045028,0.04899329214418994,-0.03906955216594591,-0.026844814231468866,0.027709426801489977,0.0,0.12741829776172006,0.0,0.0,0.0
