metric,BreakDown,LIME,SHAP
AvgSensitivity,1.3850972088942708,1.0014498738070017,1.573208753697013
Completeness,0.0,0.0,0.0
Complexity,1.5255145078148011,1.218711283816869,1.498499752271559
Consistency,0.5714285713469388,0.5714285713469388,0.5714285713469388
Faithfulness,-0.42214451632291716,-0.48137837993138716,0.407577536184602
FaithfulnessEstimate,0.5746688060928721,0.3434038571054154,-0.3377423649156968
LocalLipschitzEstimate,17.25509509612605,15.066338020346087,7.9891052591572675
MaxSensitivity,2.187123586212568,1.7985671786165647,2.552483196702433
Monotonicity,1.0,1.0,1.0
MonotonicityCorrelation,0.2142857142857143,0.7000000000000001,0.2785714285714286
MonotonicityMetric,0.0,0.0,0.0
NonSensitivity,1.0,1.0,1.0
RelativeInputStability,1.0000781595198807,0.0014083921078482627,0.0003757069331388273
RelativeOutputStability,79.16880751009262,278.45942376978996,243.04155082152457
SensitivityN,-0.015089047961626282,-0.5994265163397512,0.6971309881990293
Sparseness,0.39035639118991516,0.5324807803220825,0.38579770108192357
Sufficiency,0.49583333333333335,0.3375,0.6875
