metric,BreakDown,LIME,SHAP
AvgSensitivity,0.44093486400319226,0.7774552021506879,0.41824372987932135
Completeness,0.0,0.0,0.0
Complexity,0.7359260749282202,0.6756942734130771,0.6054557691115385
Consistency,0.9999999998571428,0.9999999998571428,0.9999999998571428
Deletion,0.10232528299093246,0.10232528299093246,0.10232528299093246
Faithfulness,-0.34592752956704576,-0.5555435962154818,0.3802234437888047
FaithfulnessEstimate,-0.40189404650215654,-0.30855653900252805,-0.5732555428265671
LocalLipschitzEstimate,1.32972795112746,4.576798130733424,0.5654779280308273
MaxSensitivity,1.1020808527685484,2.2838454354168203,0.9098161474230058
Monotonicity,1.0,1.0,1.0
MonotonicityCorrelation,0.8500000000000001,0.6285714285714286,0.9000000000000001
MonotonicityMetric,0.0,0.0,0.0
MuFidelity,-0.8063075222683611,-0.8145361783876333,-0.7910512013452826
NonSensitivity,0.25,1.25,0.25
RelativeInputStability,0.38468114559018957,0.13670373655488902,41.346019217029486
RelativeOutputStability,8846.635320195897,11460.027582267536,212244640.26947194
SensitivityN,0.2518996713136167,0.3569903971017719,-0.42539172851224477
Sparseness,0.474840821396043,0.5385199216462644,0.613882755222708
Sufficiency,0.875,0.75,0.875
